expiry,1,2,3,4,5,6,7,8,9,10,15,20
1,0.1935,0.2224,0.2388,0.2454,0.2454,0.2445,0.2438,0.243,0.2424,0.2412,0.2319,0.2264
2,0.2307,0.2503,0.2583,0.2593,0.2601,0.2586,0.2569,0.2558,0.2544,0.2527,0.2385,0.2326
3,0.2654,0.2768,0.274,0.2711,0.2689,0.2659,0.2635,0.261,0.259,0.257,0.2422,0.2336
4,0.2828,0.2845,0.2794,0.2754,0.2712,0.2684,0.2653,0.2631,0.2614,0.2594,0.2438,0.2345
5,0.2844,0.2827,0.2794,0.2758,0.2729,0.269,0.2657,0.2632,0.261,0.2586,0.2432,0.2329
7,0.2728,0.2723,0.2691,0.2652,0.2622,0.2593,0.2567,0.2543,0.2521,0.2498,0.2363,0.2254
10,0.2564,0.2514,0.25,0.2484,0.2467,0.2447,0.2428,0.2408,0.2388,0.2365,0.2204,0.2131
15,0.2311,0.2239,0.2203,0.2171,0.2163,0.2162,0.2163,0.2163,0.2164,0.216,0.2054,0.2002
20,0.2111,0.2037,0.2009,0.1991,0.1997,0.1998,0.1998,0.1998,0.1997,0.1992,0.1902,0.1895
